,supp,dose,N,len,se,lenHN,seHN,lenGD,seGD,group1,group2,group3
1,CT,0,3,0.012365093,0.0001821,1.689216341,0.151,0.019853805,0.00192309,Black soil,Red soil,Yellow soil
2,CT,1,3,0.011183009,0.0001871,3.525469753,0.167,0.022238447,0.00423212,Black soil,Red soil,Yellow soil
3,CT,2,3,0.010541438,0.0000167,3.784928858,0.148,0.024349159,0.00402931,Black soil,Red soil,Yellow soil
4,CT,4,3,0.013627106,0.00075,3.512084651,0.102,0.021988888,0.00236934,Black soil,Red soil,Yellow soil
5,CT,6,3,0.015190727,0.0004092,3.946987543,0.0788,0.023445614,0.00306478,Black soil,Red soil,Yellow soil
6,CT,10,3,0.014135652,0.0012582,5.090450894,0.185,0.023903633,0.0026397,Black soil,Red soil,Yellow soil
7,CT,12,3,0.014176229,0.0008128,5.61197477,0.105,0.026756956,0.00385265,Black soil,Red soil,Yellow soil
8,CT,15,3,0.012989799,0.0004451,5.526387037,0.109,0.081324271,0.00885059,Black soil,Red soil,Yellow soil
9,CT_N,0,3,0.013977424,0.0000611,1.319263283,0.0264871,0.044684793,0.00327009,Black soil,Red soil,Yellow soil
10,CT_N,1,3,0.014058777,0.0010116,3.10876913,0.12259552,0.048345496,0.00349782,Black soil,Red soil,Yellow soil
11,CT_N,2,3,0.013441161,0.0003521,5.348538866,0.5189722,0.049263464,0.00407443,Black soil,Red soil,Yellow soil
12,CT_N,4,3,0.016049732,0.0010641,4.91231626,0.79009415,0.047368822,0.00643045,Black soil,Red soil,Yellow soil
13,CT_N,6,3,0.015845211,0.0002908,5.390370482,0.99091048,0.041772769,0.00272119,Black soil,Red soil,Yellow soil
14,CT_N,10,3,0.016122253,0.0008727,7.058284456,1.21265085,0.047195561,0.00243168,Black soil,Red soil,Yellow soil
15,CT_N,12,3,0.01666236,0.0013836,7.533493966,1.08100483,0.050191223,0.00283519,Black soil,Red soil,Yellow soil
16,CT_N,15,3,0.016640487,0.0013494,6.972624315,1.04099244,0.082949821,0.00032794,Black soil,Red soil,Yellow soil
17,0.01% CH4_N,0,3,0.01342,0.0008984,1.50266588,0.11967769,0.063723,0.01455956,Black soil,Red soil,Yellow soil
18,0.01% CH4_N,1,3,0.014195,0.0009605,3.285749259,0.21165871,0.073691392,0.02091672,Black soil,Red soil,Yellow soil
19,0.01% CH4_N,2,3,0.0145,0.0011008,5.987289947,0.43580825,0.098916057,0.00612485,Black soil,Red soil,Yellow soil
20,0.01% CH4_N,4,3,0.01614,0.0005248,6.100042216,1.06225248,0.067042871,0.01336002,Black soil,Red soil,Yellow soil
21,0.01% CH4_N,6,3,0.018947,0.0005589,8.645244027,0.62261504,0.063637863,0.01201659,Black soil,Red soil,Yellow soil
22,0.01% CH4_N,10,3,0.015847,0.0005647,11.15292252,0.4545606,0.069866569,0.01720443,Black soil,Red soil,Yellow soil
23,0.01% CH4_N,12,3,0.016554,0.0005703,12.18978229,0.69976046,0.093097725,0.0076535,Black soil,Red soil,Yellow soil
24,0.01% CH4_N,15,3,0.01693,0.0008735,11.4618029,0.74082959,0.170586406,0.01083174,Black soil,Red soil,Yellow soil
25,0.1% CH4_N,0,3,0.013677507,0.0008832,1.403251129,0.13297253,0.046097575,0.00930799,Black soil,Red soil,Yellow soil
26,0.1% CH4_N,1,3,0.014334525,0.0009125,2.938057,0.05799234,0.059014525,0.00703413,Black soil,Red soil,Yellow soil
27,0.1% CH4_N,2,3,0.015401803,0.0008887,5.190093315,0.38281329,0.054880736,0.00591341,Black soil,Red soil,Yellow soil
28,0.1% CH4_N,4,3,0.016184927,0.0008328,4.48069971,0.46758032,0.051046796,0.00585522,Black soil,Red soil,Yellow soil
29,0.1% CH4_N,6,3,0.017143628,0.0001051,4.719167633,0.43946196,0.063148044,0.01025981,Black soil,Red soil,Yellow soil
30,0.1% CH4_N,10,3,0.015873597,0.0005145,6.542921691,0.51336822,0.065166613,0.00570341,Black soil,Red soil,Yellow soil
31,0.1% CH4_N,12,3,0.015855586,0.0007806,6.951723417,0.53477016,0.079909795,0.01311809,Black soil,Red soil,Yellow soil
32,0.1% CH4_N,15,3,0.015383585,0.0006544,6.527978525,0.52515534,0.089667213,0.01856142,Black soil,Red soil,Yellow soil
33,1% CH4_N,0,3,0.013668174,0.0005161,1.423285145,0.01469264,0.054815931,0.0092404,Black soil,Red soil,Yellow soil
34,1% CH4_N,1,3,0.014084938,0.0009196,3.044059588,0.09127246,0.070129239,0.01560962,Black soil,Red soil,Yellow soil
35,1% CH4_N,2,3,0.015283422,0.0009116,5.379093219,0.19436138,0.119850213,0.0005932,Black soil,Red soil,Yellow soil
36,1% CH4_N,4,3,0.015928724,0.0008425,4.756462629,0.26661228,0.073683272,0.0027321,Black soil,Red soil,Yellow soil
37,1% CH4_N,6,3,0.017107388,0.0003486,5.619564382,0.59388639,0.05800182,0.01258072,Black soil,Red soil,Yellow soil
38,1% CH4_N,10,3,0.017224913,0.0021363,7.496348514,0.61332781,0.074420061,0.00738028,Black soil,Red soil,Yellow soil
39,1% CH4_N,12,3,0.019293907,0.001726,8.319221582,0.72478832,0.072098355,0.01753355,Black soil,Red soil,Yellow soil
40,1% CH4_N,15,3,0.02183012,0.0018635,7.813454579,0.70213244,0.163049378,0.00645687,Black soil,Red soil,Yellow soil
