"ID";"Longitude";"Latitude";"Climate";"MAP";"MAT";"pH";"SOC";"NO3--N";"NH4+-N";"MBC";"DR";"MOA";"nirK gene abundance";"nirS gene abundance";"pmoA gene abundance";"NMDS1";"NMDS2"
1;114,24;29,91;"Subtropical";1.577,40;16,80;6,33;2,17;1,63;25,14;833,87;11,98;8,14;1.630.000,00;36.000.000,00;190.000.000,00;-0,50;-0,16
2;114,24;29,91;"Subtropical";1.577,40;16,80;6,63;2,18;1,17;26,06;653,68;10,09;5,16;2.720.000,00;72.200.000,00;195.000.000,00;-0,48;-0,11
3;114,24;29,9;"Subtropical";1.577,40;16,80;7,02;2,04;1,71;26,54;233,03;10,49;24,94;202.000,00;1.680.000,00;8.410.000,00;1,29;-1,12
4;114,23;29,9;"Subtropical";1.577,40;16,80;7,02;2,84;1,73;24,64;216,20;24,95;0,76;167.000,00;4.050.000,00;47.900.000,00;1,52;-0,77
5;113,1;30,83;"Subtropical";1.179,00;16,30;6,89;1,19;0,02;26,69;711,29;10,26;28,88;321.000,00;51.300.000,00;112.000.000,00;-0,01;-0,18
6;112,16;31,71;"Subtropical";1.179,00;16,30;6,89;1,72;0,05;27,05;369,36;16,11;5,82;1.440.000,00;45.600.000,00;139.000.000,00;-0,25;-0,07
7;112,16;31,71;"Subtropical";900,00;15,50;6,80;1,43;0,63;27,25;781,88;10,04;8,25;1.820.000,00;11.200.000,00;86.900.000,00;0,07;-0,37
8;112,16;31,71;"Subtropical";900,00;15,50;6,83;1,83;0,08;27,22;422,86;12,16;4,36;1.240.000,00;9.590.000,00;35.500.000,00;0,52;-0,22
9;112,16;31,71;"Subtropical";900,00;15,50;6,22;1,76;0,10;27,56;463,12;12,77;8,29;848.000,00;10.500.000,00;59.600.000,00;0,84;-0,24
10;112,16;31,71;"Subtropical";900,00;15,50;6,31;1,75;0,13;27,36;347,49;13,27;20,04;1.380.000,00;13.800.000,00;81.200.000,00;0,82;-0,30
11;111,66;30,45;"Subtropical";1.041,80;16,50;6,37;1,83;0,09;27,80;446,66;17,90;8,82;1.170.000,00;12.400.000,00;83.500.000,00;0,48;-0,38
12;111,66;30,45;"Subtropical";1.041,80;16,50;6,31;0,78;0,61;28,56;52,44;4,40;12,65;827.000,00;8.310.000,00;42.000.000,00;0,62;-0,46
