Fig.2B Changes in the transcript of denitrifying genes (nirK and nirS) after methane (CH4) addition.,,,,,,
ID,Time,Soil type,Treatment,Replicate,nirS,nirK
1,15day,Black soil,CT,1,"1,30E+05","1,67E+03"
2,15day,Black soil,CT,2,"1,48E+05","1,31E+03"
3,15day,Black soil,CT,3,"1,62E+05","1,18E+03"
4,15day,Black soil,CT_N,1,"1,40E+05","1,46E+03"
5,15day,Black soil,CT_N,2,"3,14E+05","1,33E+03"
6,15day,Black soil,CT_N,3,"4,17E+05","1,59E+03"
7,15day,Black soil,0.01% CH4 _N,1,"1,11E+06","4,10E+03"
8,15day,Black soil,0.01% CH4 _N,2,"3,25E+06","3,66E+03"
9,15day,Black soil,0.01% CH4 _N,3,"1,70E+06","2,74E+03"
10,15day,Black soil,0.1% CH4 _N,1,"3,61E+06","4,77E+03"
11,15day,Black soil,0.1% CH4 _N,2,"2,08E+06","5,25E+03"
12,15day,Black soil,0.1% CH4 _N,3,"1,36E+06","5,55E+03"
13,15day,Black soil,1% CH4 _N,1,"3,50E+06","5,03E+03"
14,15day,Black soil,1% CH4 _N,2,"3,45E+06","4,84E+03"
15,15day,Black soil,1% CH4 _N,3,"3,40E+06","7,63E+03"
16,15day,Red soil,CT,1,"7,45E+05","1,25E+04"
17,15day,Red soil,CT,2,"1,03E+06","1,48E+04"
18,15day,Red soil,CT,3,"7,45E+05","1,70E+04"
19,15day,Red soil,CT_N,1,"5,59E+06","1,97E+04"
20,15day,Red soil,CT_N,2,"2,45E+06","2,03E+04"
21,15day,Red soil,CT_N,3,"4,02E+06","2,30E+04"
22,15day,Red soil,0.01% CH4 _N,1,"8,14E+06","3,00E+04"
23,15day,Red soil,0.01% CH4 _N,2,"1,35E+07","3,78E+04"
24,15day,Red soil,0.01% CH4 _N,3,"2,75E+06","2,21E+04"
25,15day,Red soil,0.1% CH4 _N,1,"8,16E+05","6,74E+02"
26,15day,Red soil,0.1% CH4 _N,2,"7,53E+05","3,18E+02"
27,15day,Red soil,0.1% CH4 _N,3,"8,79E+05","5,50E+02"
28,15day,Red soil,1% CH4 _N,1,"1,22E+06","6,39E+03"
29,15day,Red soil,1% CH4 _N,2,"9,91E+05","6,38E+03"
30,15day,Red soil,1% CH4 _N,3,"2,33E+06","6,40E+03"
31,15day,Yellow soil,CT,1,"7,47E+03","7,29E+02"
32,15day,Yellow soil,CT,2,"7,21E+03","6,57E+02"
33,15day,Yellow soil,CT,3,"1,03E+04","6,48E+02"
34,15day,Yellow soil,CT_N,1,"5,79E+04","5,21E+02"
35,15day,Yellow soil,CT_N,2,"2,93E+04","1,04E+03"
36,15day,Yellow soil,CT_N,3,"4,36E+04","7,79E+02"
37,15day,Yellow soil,0.01% CH4 _N,1,"4,98E+05","3,02E+03"
38,15day,Yellow soil,0.01% CH4 _N,2,"3,55E+05","1,15E+03"
39,15day,Yellow soil,0.01% CH4 _N,3,"4,71E+05","1,61E+03"
40,15day,Yellow soil,0.1% CH4 _N,1,"3,31E+05","9,58E+03"
41,15day,Yellow soil,0.1% CH4 _N,2,"5,10E+05","1,47E+04"
42,15day,Yellow soil,0.1% CH4 _N,3,"6,89E+05","4,44E+03"
43,15day,Yellow soil,1% CH4 _N,1,"5,13E+05","1,76E+04"
44,15day,Yellow soil,1% CH4 _N,2,"4,17E+05","2,55E+04"
45,15day,Yellow soil,1% CH4 _N,3,"3,21E+05","9,70E+03"
