Fig.4B The OTU table of pmoA gene within the heavy fractions on day 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Soil type,Treatment,Replicate,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99,OTU100,OTU101,OTU102,OTU103,OTU104,OTU105,OTU106,OTU107,OTU108,OTU109,OTU110,OTU111,OTU112,OTU113,OTU114
1,Black soil,12C,1,0,0,0,"0,444429174",0,"0,454553784",0,0,0,"0,086265347","0,00371083",0,0,0,0,0,0,0,0,0,0,"0,011040865",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Black soil,12C,2,0,"0,614443989",0,"0,385556011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Black soil,12C,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Black soil,13C,1,0,"0,079297344","0,365165514","0,039855823","0,147739984",0,0,"0,0611095","0,170609438",0,"0,055392137","0,018809297","0,001450056","0,004640179","0,041803041",0,0,"0,002071508","0,000911464",0,0,0,0,0,0,"0,002320089","0,005220201",0,0,0,0,"0,001532916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000455732",0,0,0,0,"0,000372872",0,0,0,0,0,0,0,0,0,"0,000248581",0,0,0,0,"0,000207151","0,000207151",0,0,0,0,"0,000165721","0,000165721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,29E-05","8,29E-05","8,29E-05",0,0
5,Black soil,13C,2,0,0,"0,707367933","0,215071826",0,0,0,"0,066207136","0,010600093",0,"0,000753012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Black soil,13C,3,0,"0,01042212","0,51092181","0,098748394","0,10731452",0,0,"0,047589587","0,145671727",0,"0,001380098","0,003521629","0,000475896","0,01494313","0,033265122",0,0,"0,002427069",0,0,0,0,0,0,0,"0,006710132",0,0,0,"0,002950554",0,"0,007090849",0,"0,001808404",0,"0,001570456",0,0,0,0,0,0,0,0,0,0,0,"0,000761433",0,0,0,"0,000571075",0,0,0,"0,000475896",0,0,0,0,0,0,0,"0,000333127","0,000333127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000190358",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000142769","0,000142769","0,000142769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,52E-05",0
7,Red soil,12C,1,0,0,"0,650027256","0,243594736","0,081302079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01822288",0,0,0,"0,005918542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000389378",0,0,0,0,0,0,0,"0,000311502",0,0,0,0,0,0,0,0,0,0,"0,000233627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Red soil,12C,2,0,0,"0,229834058","0,333303754","0,420534209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,01357707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,001331085","0,001242346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000177478",0,0,0,0,0,0,0,0,0,0
9,Red soil,12C,3,0,0,"0,593700159","0,075757576","0,269708362",0,0,0,0,0,"0,018284347",0,0,0,0,0,0,"0,013328776",0,0,"0,014752791",0,0,0,0,0,0,0,"0,003588517",0,"0,003474596",0,0,0,"0,002050581",0,0,"0,001651857","0,001594896",0,0,0,0,"0,001253133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000455685",0,0,0,"0,000398724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Red soil,13C,1,0,0,"0,666812673","0,065703022","0,246824354",0,0,0,0,0,"0,002409111","0,00131406",0,0,"0,002117097",0,"0,006716309","0,007008322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00109505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Red soil,13C,2,0,0,"0,701819454","0,008257523","0,115955213",0,0,0,0,0,"0,048775367","0,004758572",0,0,0,0,0,"0,086354094",0,0,0,0,0,"0,000489853",0,"0,026102169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000839748",0,0,"0,00069979","0,00069979",0,0,0,0,0,"0,000559832","0,000559832",0,0,0,"0,000419874","0,000419874",0,0,"0,000349895","0,000349895","0,000349895",0,0,0,0,0,"0,000279916",0,0,0,0,0,0,0,0,0,0,"0,000209937","0,000209937","0,000209937","0,000209937","0,000209937","0,000209937",0,0,0,0,0,0,0,0,0,0,"0,000139958","0,000139958","0,000139958","0,000139958","0,000139958",0,0,0,0,0
12,Red soil,13C,3,0,0,"0,748351212","0,035756853","0,213667064",0,0,0,0,0,0,0,0,0,0,0,"0,000635677","0,001589193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Yellow soil,12C,1,0,0,0,"0,63630467","0,311897702",0,"0,001389918","0,000185322",0,0,0,0,0,0,0,"0,035303929","0,014918458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Yellow soil,12C,2,0,"0,508603867",0,0,0,0,"0,071846727","0,236384602",0,0,0,"0,113624268",0,0,0,0,0,0,0,"0,068830938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000354799","0,000354799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Yellow soil,12C,3,0,"0,391304348","0,001019022","0,074728261","0,027445652",0,"0,241711957","0,054891304","0,137024457",0,"0,010326087",0,"0,004347826",0,0,0,"0,00923913",0,0,0,0,0,"0,0265625","0,000475543","0,007269022","0,002513587",0,0,0,0,0,0,0,0,0,0,"0,002241848",0,0,"0,001902174","0,001494565","0,00169837",0,0,"0,001290761",0,"0,001154891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000339674",0,0,0,0,0,0,0,0,"0,000271739",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000203804","0,000203804","0,000203804",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00013587"
16,Yellow soil,13C,1,0,"0,04781656","0,140632337","0,08123337","0,080137737",0,"0,332133354","0,180544686","0,03185162",0,"0,013069338","0,001486931","0,021051808","0,015417123","0,019956175",0,"0,001721709","0,008060729","0,01588668",0,0,0,0,0,0,"0,006260761",0,0,0,0,0,"0,000156519","0,001017374",0,0,0,0,0,0,0,0,0,"0,001173893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000234779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000156519",0,0,0,0,0,0,0,0,0,0,0,0,0
