Fig.3A Variations in nitrous oxide (N2O) emissions after methanotroph addition.;;;;;
ID;Time;Soil type;Treatment;Replicate;N2O emission
7;0day;Black soil;1010 cell · g-1;1;0,014 
8;0day;Black soil;1010 cell · g-1;2;0,015 
9;0day;Black soil;1010 cell · g-1;3;0,014 
16;1day;Black soil;1010 cell · g-1;1;3,502 
17;1day;Black soil;1010 cell · g-1;2;3,355 
18;1day;Black soil;1010 cell · g-1;3;3,583 
25;2day;Black soil;1010 cell · g-1;1;7,856 
26;2day;Black soil;1010 cell · g-1;2;7,867 
27;2day;Black soil;1010 cell · g-1;3;6,757 
34;3day;Black soil;1010 cell · g-1;1;8,874 
35;3day;Black soil;1010 cell · g-1;2;7,761 
36;3day;Black soil;1010 cell · g-1;3;9,306 
43;5day;Black soil;1010 cell · g-1;1;24,042 
44;5day;Black soil;1010 cell · g-1;2;20,734 
45;5day;Black soil;1010 cell · g-1;3;24,649 
52;0day;Red soil;1010 cell · g-1;1;0,020 
53;0day;Red soil;1010 cell · g-1;2;0,019 
54;0day;Red soil;1010 cell · g-1;3;0,019 
61;1day;Red soil;1010 cell · g-1;1;2,551 
62;1day;Red soil;1010 cell · g-1;2;2,551 
63;1day;Red soil;1010 cell · g-1;3;2,551 
70;2day;Red soil;1010 cell · g-1;1;6,336 
71;2day;Red soil;1010 cell · g-1;2;2,466 
72;2day;Red soil;1010 cell · g-1;3;2,193 
79;3day;Red soil;1010 cell · g-1;1;10,272 
80;3day;Red soil;1010 cell · g-1;2;4,255 
81;3day;Red soil;1010 cell · g-1;3;4,209 
88;5day;Red soil;1010 cell · g-1;1;23,605 
89;5day;Red soil;1010 cell · g-1;2;12,628 
90;5day;Red soil;1010 cell · g-1;3;13,300 
97;0day;Yellow soil;1010 cell · g-1;1;0,016 
98;0day;Yellow soil;1010 cell · g-1;2;0,018 
99;0day;Yellow soil;1010 cell · g-1;3;0,018 
106;1day;Yellow soil;1010 cell · g-1;1;2,061 
107;1day;Yellow soil;1010 cell · g-1;2;1,068 
108;1day;Yellow soil;1010 cell · g-1;3;1,141 
115;2day;Yellow soil;1010 cell · g-1;1;6,969 
116;2day;Yellow soil;1010 cell · g-1;2;3,910 
117;2day;Yellow soil;1010 cell · g-1;3;3,971 
124;3day;Yellow soil;1010 cell · g-1;1;7,557 
125;3day;Yellow soil;1010 cell · g-1;2;4,130 
126;3day;Yellow soil;1010 cell · g-1;3;4,149 
133;5day;Yellow soil;1010 cell · g-1;1;15,436 
134;5day;Yellow soil;1010 cell · g-1;2;9,318 
135;5day;Yellow soil;1010 cell · g-1;3;9,610 
4;0day;Black soil;2×109 cell · g-1;1;0,015 
5;0day;Black soil;2×109 cell · g-1;2;0,009 
6;0day;Black soil;2×109 cell · g-1;3;0,009 
13;1day;Black soil;2×109 cell · g-1;1;0,110 
14;1day;Black soil;2×109 cell · g-1;2;0,183 
15;1day;Black soil;2×109 cell · g-1;3;0,170 
22;2day;Black soil;2×109 cell · g-1;1;2,136 
23;2day;Black soil;2×109 cell · g-1;2;3,116 
24;2day;Black soil;2×109 cell · g-1;3;3,023 
31;3day;Black soil;2×109 cell · g-1;1;2,295 
32;3day;Black soil;2×109 cell · g-1;2;3,385 
33;3day;Black soil;2×109 cell · g-1;3;3,503 
40;5day;Black soil;2×109 cell · g-1;1;4,769 
41;5day;Black soil;2×109 cell · g-1;2;6,842 
42;5day;Black soil;2×109 cell · g-1;3;6,930 
49;0day;Red soil;2×109 cell · g-1;1;0,007 
50;0day;Red soil;2×109 cell · g-1;2;0,007 
51;0day;Red soil;2×109 cell · g-1;3;0,007 
58;1day;Red soil;2×109 cell · g-1;1;2,994 
59;1day;Red soil;2×109 cell · g-1;2;3,246 
60;1day;Red soil;2×109 cell · g-1;3;2,742 
67;2day;Red soil;2×109 cell · g-1;1;7,615 
68;2day;Red soil;2×109 cell · g-1;2;8,254 
69;2day;Red soil;2×109 cell · g-1;3;6,975 
76;3day;Red soil;2×109 cell · g-1;1;14,751 
