Fig.3B Changes in the transcript of denitrifying genes (nirK and nirS) after methanotroph addition.,,,,,,,,
ID,Time,Soil type,Treatment,Replicate,nirS,log(nirS),nirK,log(nirK)
1,5day,Black soil,CT,1,343897,"5,53642838725229",3676,"3,56537550271407"
2,5day,Black soil,CT,2,372488,"5,57111228616423",2548,"3,40619942366331"
3,5day,Black soil,CT,3,304942,"5,48421724434586",1935,"3,28668096935493"
4,5day,Black soil,2×109 cell · g-1,1,1394642,"6,14446273995508",20648,"4,31487799153581"
5,5day,Black soil,2×109 cell · g-1,2,1305677,"6,11583575391671",21943,"4,34129600311007"
6,5day,Black soil,2×109 cell · g-1,3,1216713,"6,08518814830765",23238,"4,36619874736973"
7,5day,Black soil,1010 cell · g-1,1,1651232,"6,21780809642529",88919,"4,948994569896"
8,5day,Black soil,1010 cell · g-1,2,1635573,"6,21366993261854",69065,"4,83925801614789"
9,5day,Black soil,1010 cell · g-1,3,1856094,"6,26859996684381",108884,"5,0369640668795"
10,5day,Red soil,CT,1,598776,"5,77726438472971",13875,"4,14223299179471"
11,5day,Red soil,CT,2,668348,"5,82500265278394",14011,"4,14646913307187"
12,5day,Red soil,CT,3,399595,"5,60162004540481",4409,"3,64434009882632"
13,5day,Red soil,2×109 cell · g-1,1,2057117,"6,31325899320632",87327,"4,94114854082005"
14,5day,Red soil,2×109 cell · g-1,2,2896663,"6,46189797198881",131463,"5,11880353870488"
15,5day,Red soil,2×109 cell · g-1,3,1217571,"6,08549429556155",43192,"4,63540331446319"
16,5day,Red soil,1010 cell · g-1,1,1116766,"6,04796218336186",12493,"4,09666673997538"
17,5day,Red soil,1010 cell · g-1,2,522557,"5,71813366977889",5493,"3,73980959902136"
18,5day,Red soil,1010 cell · g-1,3,490764,"5,69087269754565",4565,"3,65944078187032"
19,5day,Yellow soil,CT,1,996876,"5,99864114039296",33567,"4,52591252856807"
20,5day,Yellow soil,CT,2,1418254,"6,15175401710928",33417,"4,52396745866548"
21,5day,Yellow soil,CT,3,1322527,"6,12140454712032",28255,"4,45109531163392"
22,5day,Yellow soil,2×109 cell · g-1,1,1086298,"6,03594897995114",56908,"4,75517332283857"
23,5day,Yellow soil,2×109 cell · g-1,2,1544877,"6,188893907484",75733,"4,87928516080771"
24,5day,Yellow soil,2×109 cell · g-1,3,1315588,"6,11911990345644",66321,"4,82165106596212"
25,5day,Yellow soil,1010 cell · g-1,1,2520513,"6,401488941732",286480,"5,45709430800385"
26,5day,Yellow soil,1010 cell · g-1,2,2130590,"6,32849988431343",159619,"5,20308458566151"
27,5day,Yellow soil,1010 cell · g-1,3,2325551,"6,36652586815444",223050,"5,34840222757764"
