"Fig.4A Quantitative distribution of the pmoA, nirS and nirK genes in eighteen fractions from each CsCl gradient on day 40.",,,,,,,,
ID,Soil type,Treatment,Replicate,Fraction,Buoyant density,pmoA gene copies,nirS gene copies,nirK gene copies
1,Black soil,12C,1,1,"1,73541 ","8,66E+02","2,44E+02","7,46E+01"
2,Black soil,12C,1,2,"1,73429 ","5,96E+02","1,90E+02","1,14E+01"
3,Black soil,12C,1,3,"1,73317 ","2,33E+03","3,56E+02","1,00E+02"
4,Black soil,12C,1,4,"1,73093 ","1,67E+03","5,21E+02","1,72E+02"
5,Black soil,12C,1,5,"1,72868 ","4,69E+02","3,36E+02","5,88E+01"
6,Black soil,12C,1,6,"1,72532 ","5,52E+02","8,03E+02","5,97E+01"
7,Black soil,12C,1,7,"1,72308 ","3,23E+03","3,46E+03","3,41E+02"
8,Black soil,12C,1,8,"1,71972 ","5,95E+03","4,61E+04","1,08E+03"
9,Black soil,12C,1,9,"1,71636 ","4,43E+04","2,25E+05","1,12E+04"
10,Black soil,12C,1,10,"1,71300 ","4,19E+05","5,47E+05","5,57E+04"
11,Black soil,12C,1,11,"1,70964 ","1,01E+06","1,01E+06","8,01E+04"
12,Black soil,12C,1,12,"1,70628 ","1,22E+06","3,11E+05","2,81E+04"
13,Black soil,12C,1,13,"1,70292 ","6,36E+05","2,47E+05","4,66E+04"
14,Black soil,12C,1,14,"1,69844 ","7,57E+05","6,51E+04","3,70E+03"
15,Black soil,12C,1,15,"1,69620 ","6,37E+05","1,93E+04","1,47E+03"
16,Black soil,12C,1,16,"1,69396 ","1,80E+05","5,16E+03","4,10E+02"
17,Black soil,12C,1,17,"1,69172 ","2,78E+04","1,44E+03","1,95E+02"
18,Black soil,12C,1,18,"1,68836 ","1,98E+04","5,81E+03","1,13E+03"
19,Black soil,12C,2,1,"1,73653 ","9,73E+02","1,04E+02","1,04E+01"
20,Black soil,12C,2,2,"1,73653 ","9,67E+02","1,50E+02","2,09E+01"
21,Black soil,12C,2,3,"1,73429 ","4,21E+02","5,08E+01","2,04E+01"
22,Black soil,12C,2,4,"1,73093 ","7,90E+02","1,15E+02","2,04E+01"
23,Black soil,12C,2,5,"1,72925 ","1,83E+03","3,59E+02","5,77E+01"
