Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,samp_size,Sample Name,source_material_id,SRA Study
SRR28613630,AMPLICON,502,121726968,PRJNA1097355,SAMN40910312,Metagenome or environmental,40283393,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:09Z,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24211943,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Denitrifier_Black16,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Denitrifier_Black16,missing,SRP500746
SRR28613631,AMPLICON,502,118105540,PRJNA1097355,SAMN40910311,Metagenome or environmental,38922513,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:08Z,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24211942,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Denitrifier_Black12,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Denitrifier_Black12,missing,SRP500746
SRR28613632,AMPLICON,502,101372876,PRJNA1097355,SAMN40910310,Metagenome or environmental,35814668,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:07Z,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24211941,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Denitrifier_Black11,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Denitrifier_Black11,missing,SRP500746
SRR28613633,AMPLICON,502,122740004,PRJNA1097355,SAMN40910309,Metagenome or environmental,39896201,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:06Z,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24211940,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Denitrifier_Black10,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Denitrifier_Black10,missing,SRP500746
SRR28613634,AMPLICON,502,74505836,PRJNA1097355,SAMN40910308,Metagenome or environmental,26566553,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:05Z,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24211939,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Denitrifier_Red6,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Denitrifier_Red6,missing,SRP500746
SRR28613635,AMPLICON,502,83022266,PRJNA1097355,SAMN40910307,Metagenome or environmental,30855929,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:04Z,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24211938,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Denitrifier_Red5,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Denitrifier_Red5,missing,SRP500746
SRR28613636,AMPLICON,502,112383744,PRJNA1097355,SAMN40910306,Metagenome or environmental,38594393,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:03Z,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24211937,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Denitrifier_Red4,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Denitrifier_Red4,missing,SRP500746
SRR28613637,AMPLICON,502,84889706,PRJNA1097355,SAMN40910305,Metagenome or environmental,33886898,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:02Z,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX24211936,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Denitrifier_Red3,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Denitrifier_Red3,missing,SRP500746
SRR28613638,AMPLICON,502,111622210,PRJNA1097355,SAMN40910320,Metagenome or environmental,39163583,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:17Z,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24211935,China,Asia,China:Guangdong,not applicable,Illumina MiSeq,soil sample,23.16 N 113.36 E,Denitrifier_Yellow27,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Denitrifier_Yellow27,missing,SRP500746
SRR28613639,AMPLICON,502,76452592,PRJNA1097355,SAMN40910319,Metagenome or environmental,27863680,HUAZHONG AGRICULTURAL UNIVERSITY,2021-08-07T09:00:16Z,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24211934,China,Asia,China:Guangdong,not applicable,Illumina MiSeq,soil sample,23.16 N 113.36 E,Denitrifier_Yellow26,PAIRED,RT-PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Denitrifier_Yellow26,missing,SRP500746
