Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ref_biomaterial,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,samp_size,Sample Name,source_material_id,SRA Study
SRR28613691,AMPLICON,602,8826524,PRJNA1096656,SAMN40813305,Metagenome or environmental,5703420,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:09Z,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24212004,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Black_22,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Black_22,missing,SRP500752
SRR28613692,AMPLICON,602,6405280,PRJNA1096656,SAMN40813304,Metagenome or environmental,4313282,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:08Z,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24212003,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Black_15,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Black_15,missing,SRP500752
SRR28613693,AMPLICON,602,11226096,PRJNA1096656,SAMN40813303,Metagenome or environmental,7314798,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:07Z,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24212002,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Black_14,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Black_14,missing,SRP500752
SRR28613694,AMPLICON,602,10340554,PRJNA1096656,SAMN40813302,Metagenome or environmental,6696776,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:06Z,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24212001,China,Asia,China:Heilongjiang,not applicable,Illumina MiSeq,soil sample,47.43 N 126.63 E,Black_13,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Black_13,missing,SRP500752
SRR28613695,AMPLICON,602,6714708,PRJNA1096656,SAMN40813301,Metagenome or environmental,4510751,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:05Z,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24212000,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Red_6_M,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:09:00Z,1,missing,missing,missing,Red_6_M,missing,SRP500752
SRR28613696,AMPLICON,602,7106610,PRJNA1096656,SAMN40813300,Metagenome or environmental,4783088,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:04Z,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24211999,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Red_5_M,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Red_5_M,missing,SRP500752
SRR28613697,AMPLICON,602,9650060,PRJNA1096656,SAMN40813299,Metagenome or environmental,6475071,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:03Z,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24211998,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Red_4_M,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Red_4_M,missing,SRP500752
SRR28613698,AMPLICON,602,10560284,PRJNA1096656,SAMN40813298,Metagenome or environmental,7088114,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:02Z,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX24211997,China,Asia,China:Hunan,not applicable,Illumina MiSeq,soil sample,28.56 N 112.83 E,Red_3_M,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Red_3_M,missing,SRP500752
SRR28613699,AMPLICON,602,10793258,PRJNA1096656,SAMN40813313,Metagenome or environmental,7064673,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:17Z,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX24211996,China,Asia,China:Guangdong,not applicable,Illumina MiSeq,soil sample,23.16 N 113.36 E,Yellow_36,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Yellow_36,missing,SRP500752
SRR28613700,AMPLICON,602,8471946,PRJNA1096656,SAMN40813312,Metagenome or environmental,5631478,HUAZHONG AGRICULTURAL UNIVERSITY,2021-04-12T09:00:16Z,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX24211995,China,Asia,China:Guangdong,not applicable,Illumina MiSeq,soil sample,23.16 N 113.36 E,Yellow_35,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,missing,missing,2024-04-12T00:00:00Z,2024-04-10T13:10:00Z,1,missing,missing,missing,Yellow_35,missing,SRP500752
